     Epoch    TrainingLoss        TestLoss         Time(s)   SavePrefix
----------------------------------------------------------------------------------------------------
       237          0.7847          0.7744         13.4486   TrainedModels/top_all36_cgenff-sub-237
       238          0.7851          0.7744         13.4953   TrainedModels/top_all36_cgenff-sub-238
       239          0.7869          0.7744         13.5073   TrainedModels/top_all36_cgenff-sub-239
       240          0.7882          0.7763         13.5500   TrainedModels/top_all36_cgenff-sub-240
       241          0.7892          0.7788         13.5207   TrainedModels/top_all36_cgenff-sub-241
       242          0.7908          0.7798         13.4524   TrainedModels/top_all36_cgenff-sub-242
       243          0.7906          0.7788         13.4932   TrainedModels/top_all36_cgenff-sub-243
       244          0.7909          0.7792         13.5571   TrainedModels/top_all36_cgenff-sub-244
       245          0.7922          0.7804         13.5155   TrainedModels/top_all36_cgenff-sub-245
       246          0.7916          0.7788         13.5050   TrainedModels/top_all36_cgenff-sub-246
       247          0.7929          0.7826         13.4397   TrainedModels/top_all36_cgenff-sub-247
       248          0.7938          0.7820         13.5731   TrainedModels/top_all36_cgenff-sub-248
       249          0.7931          0.7804         13.5038   TrainedModels/top_all36_cgenff-sub-249
       250          0.7939          0.7823         13.5114   TrainedModels/top_all36_cgenff-sub-250
       251          0.7934          0.7804         13.5051   TrainedModels/top_all36_cgenff-sub-251
       252          0.7946          0.7814         13.5064   TrainedModels/top_all36_cgenff-sub-252
       253          0.7953          0.7842         13.4991   TrainedModels/top_all36_cgenff-sub-253
       254          0.7953          0.7823         13.4990   TrainedModels/top_all36_cgenff-sub-254
       255          0.7959          0.7820         13.5118   TrainedModels/top_all36_cgenff-sub-255
       256          0.7967          0.7842         13.5778   TrainedModels/top_all36_cgenff-sub-256
       257          0.7978          0.7849         13.4666   TrainedModels/top_all36_cgenff-sub-257
       258          0.7994          0.7852         13.5061   TrainedModels/top_all36_cgenff-sub-258
       259          0.7992          0.7868         13.5147   TrainedModels/top_all36_cgenff-sub-259
       260          0.7991          0.7871         13.5671   TrainedModels/top_all36_cgenff-sub-260
       261          0.8011          0.7874         13.5113   TrainedModels/top_all36_cgenff-sub-261
       262          0.8008          0.7868         13.4418   TrainedModels/top_all36_cgenff-sub-262
       263          0.8024          0.7880         13.4979   TrainedModels/top_all36_cgenff-sub-263
       264          0.8024          0.7880         13.5481   TrainedModels/top_all36_cgenff-sub-264
       265          0.8033          0.7890         13.5128   TrainedModels/top_all36_cgenff-sub-265
       266          0.8042          0.7902         13.5100   TrainedModels/top_all36_cgenff-sub-266
       267          0.8042          0.7906         13.4460   TrainedModels/top_all36_cgenff-sub-267
       268          0.8051          0.7918         13.5578   TrainedModels/top_all36_cgenff-sub-268
       269          0.8057          0.7909         13.5229   TrainedModels/top_all36_cgenff-sub-269
       270          0.8063          0.7921         13.5018   TrainedModels/top_all36_cgenff-sub-270
       271          0.8068          0.7915         13.5097   TrainedModels/top_all36_cgenff-sub-271
       272          0.8075          0.7934         13.5093   TrainedModels/top_all36_cgenff-sub-272
       273          0.8068          0.7931         13.5049   TrainedModels/top_all36_cgenff-sub-273
       274          0.8087          0.7928         13.5089   TrainedModels/top_all36_cgenff-sub-274
       275          0.8089          0.7940         13.5046   TrainedModels/top_all36_cgenff-sub-275
       276          0.8095          0.7928         13.5690   TrainedModels/top_all36_cgenff-sub-276
       277          0.8094          0.7950         13.4509   TrainedModels/top_all36_cgenff-sub-277
       278          0.8104          0.7940         13.5029   TrainedModels/top_all36_cgenff-sub-278
       279          0.8100          0.7937         13.4975   TrainedModels/top_all36_cgenff-sub-279
       280          0.8113          0.7963         13.5656   TrainedModels/top_all36_cgenff-sub-280
       281          0.8104          0.7937         13.5073   TrainedModels/top_all36_cgenff-sub-281
       282          0.8107          0.7953         13.4521   TrainedModels/top_all36_cgenff-sub-282
       283          0.8128          0.7975         13.4957   TrainedModels/top_all36_cgenff-sub-283
       284          0.8106          0.7947         13.5713   TrainedModels/top_all36_cgenff-sub-284
       285          0.8129          0.7988         13.5114   TrainedModels/top_all36_cgenff-sub-285
       286          0.8126          0.7988         13.5042   TrainedModels/top_all36_cgenff-sub-286
       287          0.8131          0.7966         13.4474   TrainedModels/top_all36_cgenff-sub-287
       288          0.8139          0.8004         13.5713   TrainedModels/top_all36_cgenff-sub-288
       289          0.8139          0.7997         13.5075   TrainedModels/top_all36_cgenff-sub-289
       290          0.8139          0.7978         13.5224   TrainedModels/top_all36_cgenff-sub-290
       291          0.8146          0.8007         13.5019   TrainedModels/top_all36_cgenff-sub-291
       292          0.8154          0.8035         13.4895   TrainedModels/top_all36_cgenff-sub-292
       293          0.8149          0.8007         13.5074   TrainedModels/top_all36_cgenff-sub-293
       294          0.8164          0.8032         13.5240   TrainedModels/top_all36_cgenff-sub-294
       295          0.8156          0.8032         13.5057   TrainedModels/top_all36_cgenff-sub-295
       296          0.8159          0.8029         13.5630   TrainedModels/top_all36_cgenff-sub-296
       297          0.8170          0.8054         13.4471   TrainedModels/top_all36_cgenff-sub-297
       298          0.8175          0.8051         13.4919   TrainedModels/top_all36_cgenff-sub-298
       299          0.8181          0.8039         13.4993   TrainedModels/top_all36_cgenff-sub-299
       300          0.8177          0.8061         13.5483   TrainedModels/top_all36_cgenff-sub-300
       301          0.8182          0.8064         13.5217   TrainedModels/top_all36_cgenff-sub-301
       302          0.8186          0.8093         13.4447   TrainedModels/top_all36_cgenff-sub-302
       303          0.8195          0.8070         13.4929   TrainedModels/top_all36_cgenff-sub-303
       304          0.8188          0.8108         13.5522   TrainedModels/top_all36_cgenff-sub-304
       305          0.8194          0.8089         13.5230   TrainedModels/top_all36_cgenff-sub-305
       306          0.8196          0.8108         13.5131   TrainedModels/top_all36_cgenff-sub-306
